FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-26 12:28,JWM042,Critical,Heartbeat Failure
2017-12-26 12:31,JKA040,Critical,Heartbeat Failure
2017-12-26 12:40,BVT209,Critical,Heartbeat Failure
2017-12-26 13:27,JKAM03,Critical,Heartbeat Failure
2017-12-26 14:25,JWM023,Critical,Heartbeat Failure
2017-12-26 14:25,JWM042,Critical,Heartbeat Failure
2017-12-26 14:56,JKAM03,Critical,Heartbeat Failure
2017-12-26 15:18,BVT236,Critical,Heartbeat Failure
2017-12-26 15:25,BVT243,Critical,Heartbeat Failure
2017-12-26 15:33,BVT236,Critical,Heartbeat Failure
2017-12-26 16:01,BVT236,Critical,Heartbeat Failure
2017-12-26 16:12,JKA040,Critical,Heartbeat Failure
2017-12-26 16:24,JKA040,Critical,Heartbeat Failure
2017-12-26 16:33,JKA040,Critical,Heartbeat Failure
2017-12-26 16:58,JKA040,Critical,Heartbeat Failure
2017-12-26 17:08,BVT236,Critical,Heartbeat Failure
2017-12-26 17:15,BVT236,Critical,Heartbeat Failure
2017-12-26 19:04,BVT236,Critical,Heartbeat Failure
2017-12-26 19:45,BVT236,Critical,Heartbeat Failure
2017-12-26 20:49,BVT209,Critical,Heartbeat Failure
2017-12-26 21:27,BVT236,Critical,Heartbeat Failure
2017-12-26 21:59,BGS144,Critical,Heartbeat Failure
2017-12-26 22:00,BGS104,Critical,Heartbeat Failure
2017-12-26 22:00,BGM050,Critical,Heartbeat Failure
2017-12-26 22:02,BGM019,Critical,Heartbeat Failure
2017-12-26 22:03,JKAM03,Critical,Heartbeat Failure
2017-12-26 22:03,BGX032,Critical,Heartbeat Failure
2017-12-26 22:04,BGP134,Critical,Heartbeat Failure
2017-12-26 22:28,DOM029,Critical,Heartbeat Failure
2017-12-26 23:03,AXA419,Critical,Heartbeat Failure
2017-12-26 23:04,AXA408,Critical,Heartbeat Failure
2017-12-26 23:45,AXA424,Critical,Heartbeat Failure
2017-12-26 23:47,AXA426,Critical,Heartbeat Failure
2017-12-26 23:59,W_MNI902,Critical,Heartbeat Failure
2017-12-26 23:59,W_MNI905,Critical,Heartbeat Failure
2017-12-26 23:59,W_MNI906,Critical,Heartbeat Failure
2017-12-27 04:09,DOM020,Critical,Heartbeat Failure
2017-12-27 05:41,AXA415,Critical,Heartbeat Failure
2017-12-27 05:42,AXA425,Critical,Heartbeat Failure
2017-12-27 06:30,DOM029,Critical,Heartbeat Failure
2017-12-27 06:47,SKB835,Critical,Heartbeat Failure
2017-12-27 07:49,AXA424,Critical,Heartbeat Failure
2017-12-27 08:23,GCM218,Critical,Heartbeat Failure
2017-12-27 08:23,GCM018,Critical,Heartbeat Failure
2017-12-27 08:40,SKB819,Critical,Heartbeat Failure
2017-12-27 09:21,JST020,Critical,Heartbeat Failure
2017-12-27 09:24,JWM021,Critical,Heartbeat Failure
2017-12-27 09:24,JWM020,Critical,Heartbeat Failure
2017-12-27 09:26,JWM023,Critical,Heartbeat Failure
2017-12-27 09:26,JWM042,Critical,Heartbeat Failure
2017-12-27 09:38,JST016,Critical,Heartbeat Failure
2017-12-27 09:40,JST026,Critical,Heartbeat Failure
2017-12-27 09:45,JST016,Critical,Heartbeat Failure
2017-12-27 09:47,JST026,Critical,Heartbeat Failure
2017-12-27 09:52,JST016,Critical,Heartbeat Failure
2017-12-27 09:53,JST026,Critical,Heartbeat Failure
2017-12-27 09:58,JST016,Critical,Heartbeat Failure
2017-12-27 10:00,JST026,Critical,Heartbeat Failure
2017-12-27 10:05,JST016,Critical,Heartbeat Failure
2017-12-27 10:06,JST026,Critical,Heartbeat Failure
